Município;2020/Jan;2020/Fev;2020/Mar;2020/Abr;2020/Mai;2020/Jun;2020/Jul;2020/Ago;2020/Set;2020/Out
240725 Major Sales;12;12;12;12;12;12;12;12;12;12
240730 Marcelino Vieira;-;-;-;-;-;-;-;15;15;15
240740 Martins;30;30;30;30;30;12;12;12;12;12
240760 Messias Targino;16;16;16;16;16;16;16;16;16;16
240770 Montanhas;19;19;19;19;19;19;19;19;19;19
240780 Monte Alegre;21;21;21;21;21;21;21;21;21;21
240790 Monte das Gameleiras;13;13;13;13;13;13;13;13;13;13
240800 Mossoró;743;743;743;843;836;848;848;841;841;841
240810 Natal;2985;3066;3077;3138;3198;3157;3323;3244;3244;3338
240820 Nísia Floresta;24;24;24;24;24;24;24;24;24;24
240830 Nova Cruz;38;38;38;38;38;38;38;38;38;38
240840 Olho-d'Água do Borges;14;14;14;14;14;14;14;14;14;14
240860 Paraná;8;8;8;8;8;8;8;8;8;8
240880 Parazinho;6;6;6;6;6;6;6;6;6;6
240890 Parelhas;55;55;55;55;55;55;55;55;55;55
240325 Parnamirim;143;143;174;218;218;220;218;218;226;226
240910 Passa e Fica;30;30;30;30;30;30;30;30;30;30
240930 Patu;45;45;45;45;45;45;45;45;45;45
240940 Pau dos Ferros;154;154;154;154;154;164;164;164;164;164
240960 Pedra Preta;4;4;4;4;4;4;4;4;4;4
240980 Pedro Velho;11;11;11;11;11;11;11;11;11;11
240990 Pendências;13;13;13;13;13;13;13;13;13;13
241000 Pilões;10;10;10;10;10;10;10;10;10;10
241010 Poço Branco;30;30;30;30;30;30;30;30;30;30
241020 Portalegre;31;31;31;31;31;31;31;31;31;31
241025 Porto do Mangue;2;2;2;2;2;2;2;2;2;2
241050 Rafael Fernandes;8;8;8;8;8;8;8;8;8;8
241060 Rafael Godeiro;19;19;19;19;19;19;19;19;19;19
241070 Riacho da Cruz;17;17;17;17;24;24;24;24;24;24
241090 Riachuelo;12;12;12;12;12;12;12;12;12;12
240895 Rio do Fogo;8;8;8;8;8;8;8;8;8;8
241100 Rodolfo Fernandes;18;18;18;18;18;18;18;18;18;18
241110 Ruy Barbosa;13;13;13;13;13;13;13;13;13;13
241120 Santa Cruz;151;151;151;129;129;129;133;133;133;133
241140 Santana do Matos;25;25;25;25;25;25;25;25;25;25
241142 Santana do Seridó;13;13;11;11;11;11;11;11;11;11
241150 Santo Antônio;40;40;40;40;46;46;46;46;46;46
241170 São Bento do Trairí;10;10;10;10;10;10;10;10;10;10
241200 São Gonçalo do Amarante;64;64;134;134;134;134;134;80;66;66
241210 São João do Sabugi;8;8;8;8;8;8;8;8;8;8
241220 São José de Mipibu;98;98;98;98;98;98;98;98;98;98
241230 São José do Campestre;16;16;16;16;16;16;16;16;16;16
241240 São José do Seridó;12;12;12;12;12;12;12;12;12;12
241250 São Miguel;91;91;91;70;70;70;70;70;70;70
241255 São Miguel do Gostoso;7;7;7;7;7;7;7;7;7;7
241260 São Paulo do Potengi;40;40;40;40;40;40;33;31;31;31
241270 São Pedro;4;4;4;4;4;4;4;4;4;4
241280 São Rafael;19;19;19;19;19;19;19;19;19;19
241290 São Tomé;14;14;14;14;14;14;14;14;14;14
241300 São Vicente;14;14;14;14;14;14;14;14;14;14
241310 Senador Elói de Souza;7;7;7;7;7;7;7;7;7;7
241030 Serra Caiada;22;22;22;22;22;22;22;22;22;22
241330 Serra de São Bento;12;12;12;12;12;12;12;12;12;12
241335 Serra do Mel;17;17;17;17;17;17;17;17;17;17
241340 Serra Negra do Norte;22;22;22;22;22;22;22;22;22;22
241355 Serrinha dos Pintos;13;13;13;13;13;13;13;13;13;13
241360 Severiano Melo;15;15;15;15;15;15;15;16;16;16
241370 Sítio Novo;12;12;12;12;12;12;12;12;12;12
241380 Taboleiro Grande;14;14;14;14;14;14;14;14;14;14
241390 Taipu;6;6;6;6;6;6;6;6;6;6
241400 Tangará;17;17;17;17;17;17;17;17;17;17
241410 Tenente Ananias;27;27;27;27;27;27;27;27;27;27
241415 Tenente Laurentino Cruz;3;3;3;3;3;3;3;3;3;3
241105 Tibau;14;14;14;14;14;14;14;14;14;14
241420 Tibau do Sul;15;15;15;15;15;15;15;15;15;15
241440 Touros;30;30;30;30;30;30;30;30;30;30
241445 Triunfo Potiguar;12;12;12;12;12;12;12;12;12;12
241460 Upanema;13;13;13;13;13;13;13;13;13;13
241475 Venha-Ver;8;8;8;8;8;8;8;8;8;8
241480 Vera Cruz;12;12;12;12;12;12;12;12;12;12
241490 Viçosa;15;15;15;15;15;15;15;15;15;15
241500 Vila Flor;21;21;21;21;21;21;21;21;21;21
250010 Água Branca;20;20;20;20;20;20;20;20;20;20
250020 Aguiar;12;12;12;12;12;12;12;12;12;12
250030 Alagoa Grande;46;46;46;46;46;46;46;46;46;46
250040 Alagoa Nova;28;28;28;28;28;28;28;28;28;28
250060 Alhandra;15;15;15;-;-;-;-;-;2;2
250080 Araçagi;-;-;-;-;-;2;2;2;2;2
250090 Arara;17;17;17;17;17;17;17;17;17;17
250110 Areia;36;36;36;36;36;36;36;36;36;36
250130 Aroeiras;40;40;40;40;40;40;40;40;40;40
250150 Bananeiras;37;37;37;37;37;37;37;37;37;37
250180 Bayeux;48;48;48;48;48;48;48;48;48;48
250190 Belém;25;25;25;25;25;25;25;25;25;25
250200 Belém do Brejo do Cruz;31;31;31;31;31;31;31;31;31;31
250210 Boa Ventura;3;3;3;3;3;3;3;3;3;3
250230 Bom Sucesso;16;16;16;16;16;16;16;16;16;16
250240 Bonito de Santa Fé;19;19;19;19;19;19;19;19;19;19
250250 Boqueirão;43;43;25;25;25;25;25;25;25;25
250280 Brejo do Cruz;25;25;32;32;32;32;32;32;32;32
250290 Brejo dos Santos;18;18;18;18;18;18;18;18;18;18
250300 Caaporã;38;38;38;38;38;38;38;38;38;38
250320 Cabedelo;35;35;35;35;35;35;35;35;35;35
250340 Cacimba de Areia;5;5;5;5;5;5;5;5;5;5
250350 Cacimba de Dentro;22;22;22;22;13;13;13;13;13;13
250370 Cajazeiras;221;221;221;221;216;210;210;218;220;220
250400 Campina Grande;1569;1569;1626;1666;1701;1701;1803;1803;1803;1803
250420 Catingueira;-;-;-;-;-;-;9;9;9;9
250430 Catolé do Rocha;64;64;64;64;64;64;64;64;64;64
250440 Conceição;58;58;58;58;58;58;58;58;58;58
250460 Conde;60;60;60;60;60;60;60;100;100;100
250480 Coremas;39;39;39;39;39;39;39;39;39;39
250500 Cubati;16;16;16;16;16;16;16;16;16;16
250510 Cuité;67;67;67;67;67;67;67;67;67;67
250570 Dona Inês;12;12;12;12;12;12;12;12;12;12
250600 Esperança;26;26;26;26;26;26;26;26;26;26
250620 Frei Martinho;18;18;18;18;18;18;18;18;18;18
250630 Guarabira;207;207;207;207;207;207;207;207;207;207
250650 Gurjão;4;4;4;4;4;4;4;4;4;4
250660 Ibiara;12;12;12;12;12;12;12;12;12;12
250260 Igaracy;-;-;-;12;12;12;12;12;12;12
250680 Ingá;10;10;10;10;10;10;10;10;10;10
250690 Itabaiana;41;41;41;41;41;41;41;41;41;41
250700 Itaporanga;48;48;48;48;48;48;48;48;48;48
250710 Itapororoca;18;18;18;18;18;18;18;18;18;18
250730 Jacaraú;8;8;8;8;8;8;8;8;8;8
250740 Jericó;12;12;12;-;-;-;-;-;-;-
250750 João Pessoa;2805;2794;2865;2922;2876;2932;2912;2912;2912;2970
250770 Juazeirinho;18;18;18;18;18;18;18;18;18;18
250790 Juripiranga;12;12;12;12;12;12;12;12;12;12
250800 Juru;11;11;11;11;11;11;11;11;11;11
250820 Lagoa de Dentro;19;19;19;19;19;19;19;19;19;19
250830 Lagoa Seca;28;28;28;28;28;28;28;28;28;28
250840 Lastro;10;10;10;10;10;10;10;10;10;10
250860 Lucena;2;2;2;2;2;2;2;2;2;2
250890 Mamanguape;104;104;104;104;104;104;104;104;104;104
250910 Mari;6;6;6;6;6;6;6;6;6;6
250920 Massaranduba;51;51;51;51;51;51;51;51;51;51
250970 Monteiro;77;77;77;77;77;77;77;77;77;77
250990 Natuba;19;19;19;19;19;19;19;19;19;19
251010 Nova Floresta;19;19;19;19;19;19;19;19;19;19
251020 Nova Olinda;22;22;22;22;22;22;22;22;22;22
251040 Olho d'Água;1;1;1;1;1;1;1;1;1;1
251080 Patos;319;319;319;319;319;319;319;319;319;321
251090 Paulista;26;26;26;31;31;31;31;31;31;31
251110 Pedra Lavrada;20;20;20;20;20;20;20;20;20;20
251120 Pedras de Fogo;47;47;47;47;47;47;47;47;47;47
251130 Piancó;86;86;86;86;86;86;86;86;86;86
251140 Picuí;100;100;100;100;100;100;100;100;100;100
251150 Pilar;19;19;19;19;19;19;19;19;19;19
251200 Pocinhos;57;57;57;57;50;50;50;50;50;50
251210 Pombal;94;94;94;94;94;94;94;94;94;94
251230 Princesa Isabel;55;55;55;55;55;55;55;55;55;55
251250 Queimadas;36;36;36;36;36;36;36;36;36;36
251280 Riacho dos Cavalos;8;8;8;8;8;8;8;8;8;8
251320 Santa Cruz;13;13;13;13;13;13;13;13;13;13
251335 Santa Inês;10;10;10;10;10;10;10;10;10;10
251340 Santa Luzia;36;36;36;36;36;36;36;36;36;36
251370 Santa Rita;163;163;163;163;199;264;264;264;264;264
251350 Santana de Mangueira;-;-;4;4;-;-;-;-;-;-
251385 Santo André;6;6;6;6;6;6;6;6;6;6
251390 São Bento;47;47;47;47;47;47;47;47;47;47
250070 São João do Rio do Peixe;28;28;28;28;28;28;28;28;28;28
251420 São José da Lagoa Tapada;3;3;3;3;3;3;3;3;3;3
251430 São José de Caiana;15;15;15;15;15;15;15;15;15;15
251450 São José de Piranhas;17;17;17;17;17;17;17;17;17;17
251470 São José do Sabugi;4;4;4;-;-;-;-;-;-;-
251490 São Mamede;26;26;26;26;26;26;26;26;26;26
251540 São Vicente do Seridó;24;24;24;24;24;24;24;24;24;24
251530 Sapé;78;78;78;78;78;78;78;78;78;78
251550 Serra Branca;58;58;58;58;58;58;58;58;58;58
251570 Serra Grande;12;12;12;12;12;12;12;12;12;12
251590 Serraria;7;7;7;7;7;7;7;7;7;7
251600 Solânea;34;34;34;34;34;34;34;34;34;34
251610 Soledade;22;22;22;22;22;22;22;22;22;22
251620 Sousa;217;217;217;159;159;159;159;159;159;159
251630 Sumé;41;41;41;41;41;41;41;41;41;41
251650 Taperoá;52;52;52;52;52;52;52;52;52;52
251660 Tavares;23;23;23;23;23;23;23;23;23;23
251670 Teixeira;39;39;39;39;39;39;39;39;39;39
251690 Uiraúna;47;47;47;47;47;47;47;47;47;47
260005 Abreu e Lima;294;294;285;335;315;315;285;289;289;269
260010 Afogados da Ingazeira;181;181;181;181;148;142;142;140;140;140
260020 Afrânio;45;45;45;54;54;54;54;54;54;54
260030 Agrestina;123;123;123;123;123;123;123;123;123;123
260040 Água Preta;50;50;50;50;50;50;50;50;50;50
260050 Águas Belas;30;30;30;30;30;30;30;30;30;30
260060 Alagoinha;11;11;24;24;24;24;24;24;24;24
260070 Aliança;26;26;26;26;26;26;26;26;26;26
260080 Altinho;18;18;18;24;24;24;24;24;24;24
260090 Amaraji;31;31;31;31;31;31;31;31;31;31
260100 Angelim;12;12;12;12;12;12;12;12;12;12
260105 Araçoiaba;3;3;3;3;3;3;3;3;3;3
260110 Araripina;211;211;231;231;231;231;231;167;226;226
260120 Arcoverde;144;144;144;175;175;175;177;177;177;174
260130 Barra de Guabiraba;11;11;11;15;15;15;15;15;15;15
260140 Barreiros;129;129;129;130;130;130;140;95;95;95
260150 Belém de Maria;9;9;9;9;9;9;9;9;9;9
260160 Belém do São Francisco;24;24;24;24;29;29;29;29;29;29
260170 Belo Jardim;95;95;95;95;95;95;95;95;95;95
260180 Betânia;10;10;21;21;21;21;28;28;28;28
260190 Bezerros;141;141;141;172;172;172;172;172;172;172
260200 Bodocó;16;16;16;24;24;24;24;24;24;24
260210 Bom Conselho;46;46;46;53;53;53;53;53;53;53
260220 Bom Jardim;33;33;33;33;33;33;33;33;33;33
260230 Bonito;52;52;52;52;52;52;52;52;52;52
260240 Brejão;14;14;14;16;16;16;16;16;16;16
260250 Brejinho;7;7;7;11;11;11;11;11;11;11
260260 Brejo da Madre de Deus;31;31;42;60;60;60;60;60;60;60
260270 Buenos Aires;17;17;17;17;17;17;17;17;17;17
260280 Buíque;76;76;76;76;57;57;57;57;57;57
260290 Cabo de Santo Agostinho;421;421;395;515;515;515;503;490;503;501
260300 Cabrobó;74;74;45;45;45;45;64;64;64;64
260310 Cachoeirinha;16;16;16;26;26;26;26;26;26;26
260320 Caetés;20;20;20;40;40;40;40;40;40;40
260330 Calçado;11;11;11;17;17;17;17;17;17;17
260340 Calumbi;17;17;17;17;17;17;17;17;17;17
260345 Camaragibe;284;284;284;326;326;326;346;402;441;441
260350 Camocim de São Félix;14;14;14;19;19;19;19;19;19;19
260360 Camutanga;7;7;7;7;7;12;12;12;12;12
260370 Canhotinho;32;32;32;32;32;32;32;32;32;32
260380 Capoeiras;25;25;25;40;40;40;40;40;40;40
260390 Carnaíba;15;15;15;25;25;25;25;25;25;25
260392 Carnaubeira da Penha;11;11;11;11;11;11;11;11;11;11
260400 Carpina;116;116;116;114;114;114;114;114;114;114
260410 Caruaru;828;891;921;957;877;877;877;877;886;884
260415 Casinhas;28;28;28;35;35;35;35;35;35;35
260420 Catende;27;27;27;27;27;27;27;27;27;27
260430 Cedro;18;18;18;18;18;18;18;18;18;18
260440 Chã de Alegria;19;19;19;19;19;19;19;19;19;19
260450 Chã Grande;40;40;40;40;40;40;40;40;40;40
260460 Condado;21;21;21;21;21;21;21;21;21;21
260470 Correntes;23;23;23;29;29;29;29;29;29;29
260480 Cortês;39;39;39;39;39;39;39;39;39;39
260490 Cumaru;19;19;19;21;21;21;21;21;21;21
260500 Cupira;20;20;20;20;20;20;20;20;20;20
260510 Custódia;76;76;89;87;87;87;87;87;87;87
260515 Dormentes;27;27;27;27;27;27;27;27;27;27
260520 Escada;83;83;83;83;83;83;83;83;83;83
260530 Exu;33;33;33;42;42;42;42;42;42;42
260540 Feira Nova;17;17;17;28;28;28;28;28;28;28
260545 Fernando de Noronha;10;10;10;10;17;17;17;17;17;17
260550 Ferreiros;7;7;7;7;7;7;-;-;-;-
260560 Flores;22;22;22;33;33;33;33;33;33;33
260570 Floresta;71;71;71;71;71;71;71;71;71;71
260580 Frei Miguelinho;11;11;11;11;11;11;11;11;11;11
260590 Gameleira;23;23;23;23;23;23;23;23;23;23
260600 Garanhuns;333;333;342;422;422;422;406;406;393;383
260610 Glória do Goitá;24;24;24;24;24;56;56;55;55;55
260620 Goiana;141;141;141;103;193;193;194;144;182;182
260630 Granito;19;19;19;19;19;19;19;19;19;19
260640 Gravatá;98;98;98;98;98;98;98;98;98;98
260650 Iati;22;22;22;22;22;22;22;22;22;22
260660 Ibimirim;19;19;19;19;26;26;26;26;26;26
260670 Ibirajuba;16;16;16;20;20;20;20;20;20;20
260680 Igarassu;342;342;342;342;342;342;342;342;342;342
260690 Iguaracy;16;16;16;22;22;22;22;22;22;22
260760 Ilha de Itamaracá;14;14;14;14;14;14;14;14;14;14
260700 Inajá;13;13;13;13;13;13;13;13;13;13
260710 Ingazeira;4;4;4;4;4;4;4;4;4;4
260720 Ipojuca;32;32;32;65;65;65;65;65;65;65
260730 Ipubi;52;38;38;45;45;45;45;45;45;45
260740 Itacuruba;14;14;15;15;15;15;15;15;15;15
260750 Itaíba;21;21;34;34;34;34;34;34;34;34
260765 Itambé;42;42;42;42;42;42;42;42;42;42
260770 Itapetim;25;25;25;32;32;32;32;32;32;32
260775 Itapissuma;1;1;1;1;1;14;14;14;6;6
260780 Itaquitinga;14;14;14;14;14;14;14;14;14;14
260790 Jaboatão dos Guararapes;726;726;726;872;877;877;879;879;879;879
260795 Jaqueira;32;32;32;32;32;32;32;32;32;32
260800 Jataúba;13;13;13;19;19;19;19;19;19;19
260805 Jatobá;23;23;23;23;23;23;23;23;23;23
260810 João Alfredo;23;23;23;33;33;33;33;33;33;33
260820 Joaquim Nabuco;14;14;14;14;14;14;14;14;14;14
260825 Jucati;6;6;6;12;12;12;18;18;18;18
260830 Jupi;9;9;9;16;16;16;16;16;16;16
260840 Jurema;18;18;18;27;27;27;27;27;27;27
260850 Lagoa de Itaenga;20;20;20;27;27;27;27;27;27;27
260845 Lagoa do Carro;13;13;13;13;13;13;13;13;13;13
260860 Lagoa do Ouro;26;26;26;33;33;33;33;33;33;33
260870 Lagoa dos Gatos;17;17;17;17;17;17;17;17;17;17
260875 Lagoa Grande;27;27;31;31;31;31;31;31;31;31
260880 Lajedo;21;21;21;41;41;41;41;41;41;41
260890 Limoeiro;126;126;126;147;147;147;147;147;147;147
260900 Macaparana;52;52;52;52;52;52;52;52;52;52
260910 Machados;9;9;9;15;15;15;15;15;15;15
260915 Manari;16;16;16;16;27;27;27;27;27;27
260920 Maraial;13;13;13;13;13;13;13;13;13;13
260930 Mirandiba;34;34;34;9;9;9;9;9;9;9
261430 Moreilândia;22;22;22;11;11;11;11;11;11;11
260940 Moreno;67;67;109;135;135;135;135;135;135;135
260950 Nazaré da Mata;40;40;40;40;40;40;40;40;40;40
260960 Olinda;489;489;489;522;594;584;594;669;657;605
260970 Orobó;20;20;20;32;32;32;32;32;32;32
260980 Orocó;11;11;11;11;17;17;17;17;17;17
260990 Ouricuri;98;98;98;116;116;116;121;113;113;113
261000 Palmares;274;274;274;289;304;304;304;304;304;304
261010 Palmeirina;10;10;10;14;14;14;14;14;14;14
261020 Panelas;26;26;26;26;26;26;26;26;26;26
261030 Paranatama;20;20;20;32;32;32;32;32;32;33
261040 Parnamirim;29;29;29;40;40;40;40;40;40;40
261050 Passira;25;25;25;39;39;39;39;39;39;39
261060 Paudalho;141;141;141;141;141;141;141;141;141;141
261070 Paulista;519;519;516;581;581;586;586;468;468;468
261080 Pedra;23;23;23;17;28;28;28;28;28;28
261090 Pesqueira;167;167;167;167;167;167;167;167;171;171
261100 Petrolândia;119;119;119;119;112;112;112;112;112;112
261110 Petrolina;726;726;726;726;826;836;866;957;957;885
261120 Poção;14;14;14;15;15;15;15;15;15;15
261130 Pombos;21;21;21;21;21;35;35;35;35;35
261140 Primavera;4;4;4;4;4;4;4;4;4;4
261150 Quipapá;50;50;50;10;10;25;25;25;25;25
261160 Recife;8304;8328;8813;9204;9310;9285;9034;9020;8739;8734
261170 Riacho das Almas;30;30;30;38;38;38;38;38;38;38
261180 Ribeirão;7;7;7;7;45;45;45;45;38;38
261190 Rio Formoso;16;16;16;16;16;16;16;16;16;16
261200 Sairé;20;20;20;10;10;10;10;10;10;10
261210 Salgadinho;5;5;5;5;5;5;5;5;5;5
261220 Salgueiro;232;232;241;242;265;265;265;265;265;265
261230 Saloá;19;19;19;30;30;30;30;30;30;30
261240 Sanharó;14;14;14;14;14;14;14;14;14;14
261245 Santa Cruz;24;24;24;24;24;24;24;24;24;24
261247 Santa Cruz da Baixa Verde;15;15;15;21;21;21;21;21;21;21
261250 Santa Cruz do Capibaribe;76;76;76;141;141;141;141;141;141;141
261255 Santa Filomena;17;17;17;17;17;17;17;17;17;17
261260 Santa Maria da Boa Vista;43;43;43;29;29;29;29;29;29;29
261280 Santa Terezinha;13;13;13;19;19;19;19;19;19;19
261290 São Benedito do Sul;28;28;28;28;28;28;28;28;28;28
261300 São Bento do Una;46;46;46;46;46;46;46;46;46;46
261310 São Caitano;53;53;30;30;30;30;30;30;30;30
261320 São João;20;20;20;31;31;31;31;31;31;31
261330 São Joaquim do Monte;34;34;34;34;34;34;34;34;34;34
261340 São José da Coroa Grande;22;22;22;22;22;22;26;26;26;26
261350 São José do Belmonte;37;37;37;32;32;32;32;32;33;33
261360 São José do Egito;73;73;73;90;90;90;90;90;90;90
261370 São Lourenço da Mata;97;97;97;97;97;97;97;97;97;97
261380 São Vicente Ferrer;29;29;29;29;29;29;29;29;29;29
261390 Serra Talhada;441;441;426;446;446;446;581;605;605;605
261400 Serrita;32;32;32;32;32;32;32;32;32;32
261410 Sertânia;83;83;55;73;73;73;73;73;73;73
261420 Sirinhaém;26;26;26;26;26;26;26;26;26;26
261440 Solidão;13;13;13;16;16;16;16;16;16;16
261450 Surubim;180;180;180;203;203;203;203;203;203;203
261460 Tabira;55;55;55;69;69;49;69;69;69;69
261480 Tacaratu;17;17;17;21;21;21;21;21;21;21
261485 Tamandaré;16;16;16;16;16;16;16;16;16;16
261500 Taquaritinga do Norte;56;56;56;56;56;56;56;56;56;56
261510 Terezinha;8;8;8;12;12;12;12;12;12;12
261520 Terra Nova;11;11;11;11;11;11;11;11;11;11
261530 Timbaúba;137;137;137;137;137;137;137;137;137;137
261540 Toritama;28;28;28;28;44;44;44;44;44;44
261550 Tracunhaém;11;11;11;11;11;11;11;11;11;11
261560 Trindade;81;81;81;73;73;73;73;73;73;73
261570 Triunfo;13;13;13;18;18;18;18;18;18;18
261580 Tupanatinga;19;19;23;19;21;21;21;21;21;21
261590 Tuparetama;39;39;39;43;39;39;39;39;39;39
261600 Venturosa;24;24;24;24;24;24;24;24;24;24
261610 Verdejante;15;15;16;15;15;15;15;15;15;15
261618 Vertente do Lério;-;-;-;4;4;4;4;4;4;4
261620 Vertentes;50;50;82;82;82;40;40;40;40;40
261630 Vicência;77;30;30;40;40;40;40;40;40;40
261640 Vitória de Santo Antão;367;385;385;419;424;417;417;417;417;408
261650 Xexéu;14;14;14;14;14;14;14;14;14;14
270010 Água Branca;25;25;25;25;25;25;25;25;25;25
270020 Anadia;25;25;25;25;25;25;25;25;25;25
270030 Arapiraca;970;970;970;951;979;1046;1061;1076;1076;1093
270040 Atalaia;44;44;44;44;44;44;44;44;44;44
270070 Batalha;35;35;35;35;35;35;35;35;35;35
270100 Boca da Mata;14;14;14;14;14;14;14;14;14;14
270120 Cacimbinhas;3;3;3;3;3;3;3;3;3;3
270130 Cajueiro;26;26;26;26;26;26;26;26;26;26
270140 Campo Alegre;40;40;40;40;77;77;77;77;77;77
270170 Capela;53;53;49;49;49;70;70;70;70;70
270210 Colônia Leopoldina;33;33;33;33;33;33;33;33;33;33
270230 Coruripe;274;274;274;274;274;274;274;274;274;274
270235 Craíbas;8;8;8;8;8;8;8;8;8;8
270240 Delmiro Gouveia;44;44;44;44;44;44;44;44;44;44
270280 Flexeiras;15;15;15;15;15;15;15;15;15;15
270290 Girau do Ponciano;48;48;48;64;64;64;64;64;64;48
270300 Ibateguara;3;3;3;3;3;3;3;3;3;3
270310 Igaci;14;14;14;14;14;14;14;14;14;14
270375 Jequiá da Praia;2;2;2;2;2;2;2;2;-;-
270380 Joaquim Gomes;50;50;50;50;50;50;50;50;50;50
270400 Junqueiro;35;35;35;35;35;35;35;35;35;35
270410 Lagoa da Canoa;3;3;3;3;3;3;3;3;3;3
270420 Limoeiro de Anadia;14;14;14;14;14;14;14;14;14;14
270430 Maceió;2866;2866;2963;3029;3306;3306;3306;3342;3344;3328
270440 Major Isidoro;32;32;32;32;32;32;32;32;32;32
270450 Maragogi;2;2;2;2;4;12;12;4;4;4
270470 Marechal Deodoro;-;-;-;-;-;16;19;19;3;3
270500 Mata Grande;36;36;36;36;36;36;36;36;36;36
270510 Matriz de Camaragibe;24;24;24;24;24;24;24;24;24;24
270550 Murici;53;53;53;53;53;53;53;53;53;53
270570 Olho d'Água das Flores;47;47;47;47;47;47;47;47;47;47
270630 Palmeira dos Índios;126;126;126;126;136;136;136;136;136;136
270640 Pão de Açúcar;52;52;52;52;52;52;52;52;52;52
270660 Paulo Jacinto;16;16;16;16;16;16;16;16;16;16
270670 Penedo;109;109;109;109;109;109;109;109;109;109
270680 Piaçabuçu;18;18;18;18;18;18;18;18;18;18
270690 Pilar;43;43;43;43;43;43;54;50;50;50
270710 Piranhas;39;39;39;42;42;42;42;42;42;42
270730 Porto Calvo;41;41;41;41;41;90;90;90;90;90
270760 Quebrangulo;28;28;28;28;28;28;28;28;28;28
270770 Rio Largo;81;81;81;81;81;81;81;81;81;81
270800 Santana do Ipanema;102;102;102;102;102;116;116;96;96;96
270820 São Brás;3;3;3;3;3;3;3;3;3;3
270830 São José da Laje;50;50;50;50;70;70;70;70;70;70
270840 São José da Tapera;20;20;20;20;20;20;20;20;20;20
270850 São Luís do Quitunde;27;27;27;27;27;27;27;27;27;27
270860 São Miguel dos Campos;119;129;129;119;124;124;124;124;124;124
270880 São Sebastião;6;6;6;6;6;6;6;6;6;6
270910 Taquarana;1;1;1;1;1;1;1;1;1;1
270915 Teotônio Vilela;50;50;50;50;50;50;50;50;50;50
270920 Traipu;9;9;9;9;9;9;9;9;9;9
270930 União dos Palmares;63;63;63;63;61;61;75;75;166;168
270940 Viçosa;40;40;40;40;40;40;40;40;40;40
280020 Aquidabã;32;32;32;32;32;32;32;32;32;32
280030 Aracaju;2185;2161;2130;2382;2444;2444;2406;2406;2398;2379
280040 Arauá;1;1;1;1;1;1;1;1;1;1
280067 Boquim;18;18;18;18;18;18;18;18;18;18
280120 Canindé de São Francisco;27;27;27;27;27;27;27;27;27;27
280130 Capela;65;65;65;65;65;65;65;65;65;65
280140 Carira;1;1;1;1;1;1;1;1;1;1
280150 Carmópolis;1;1;1;1;-;-;-;-;-;-
280210 Estância;223;223;223;196;196;200;191;191;191;189
280230 Frei Paulo;1;1;1;1;1;1;1;1;1;1
280290 Itabaiana;152;152;152;165;165;165;176;177;177;177
280300 Itabaianinha;25;25;25;25;45;45;45;45;45;45
280340 Japoatã;21;21;21;21;21;21;21;21;21;21
280350 Lagarto;140;140;133;159;176;176;202;202;202;202
280360 Laranjeiras;1;1;1;1;1;1;1;1;1;1
280420 Monte Alegre de Sergipe;7;7;7;7;7;7;7;7;7;7
280440 Neópolis;25;25;25;25;25;25;25;25;25;25
280450 Nossa Senhora da Glória;49;49;49;49;49;49;49;37;37;37
280480 Nossa Senhora do Socorro;56;56;56;56;56;104;104;96;96;48
280540 Poço Redondo;18;18;18;18;18;18;18;18;18;18
280550 Poço Verde;12;12;12;12;12;12;12;12;12;12
280560 Porto da Folha;18;18;18;18;18;18;18;18;18;18
280570 Propriá;49;49;49;49;49;49;49;49;49;49
280580 Riachão do Dantas;1;1;1;1;1;1;1;1;1;1
280590 Riachuelo;56;56;56;56;56;56;56;56;56;56
280610 Rosário do Catete;14;14;14;14;14;14;14;14;14;14
280670 São Cristóvão;31;31;31;31;31;31;31;31;31;31
280710 Simão Dias;2;2;2;2;2;2;2;2;2;2
280760 Umbaúba;5;5;5;5;4;4;4;4;4;4
290010 Abaíra;9;9;9;9;9;9;9;9;9;9
290020 Abaré;24;24;24;24;24;24;24;24;24;24
290030 Acajutiba;8;8;8;8;8;8;8;8;8;8
290035 Adustina;19;19;19;19;19;19;19;19;19;19
290040 Água Fria;20;20;20;20;20;20;20;20;20;20
290060 Aiquara;13;13;13;13;13;13;13;13;13;13
290070 Alagoinhas;242;242;242;242;242;242;242;242;242;221
290080 Alcobaça;59;59;59;59;59;59;59;59;59;59
290100 Amargosa;52;52;52;52;52;52;65;52;52;52
290110 Amélia Rodrigues;16;16;16;16;16;16;16;16;16;16
290115 América Dourada;26;26;26;26;26;26;26;26;26;26
290120 Anagé;33;33;33;33;33;33;33;33;33;33
290130 Andaraí;32;32;32;32;32;32;32;32;32;32
290135 Andorinha;6;6;6;6;6;6;6;6;6;6
290140 Angical;6;6;6;6;6;6;6;6;6;6
290150 Anguera;6;6;6;6;6;6;6;6;6;6
290160 Antas;142;142;142;142;142;142;142;142;142;142
290190 Aporá;1;1;1;1;1;1;1;1;1;1
290205 Araças;23;23;23;23;23;23;23;23;23;23
290200 Aracatu;41;41;41;41;41;41;41;41;41;41
290210 Araci;48;48;48;48;48;48;48;48;48;48
290240 Aurelino Leal;40;40;40;40;40;40;40;40;40;40
290250 Baianópolis;28;28;28;28;28;28;28;28;28;28
