Município;2020/Jan;2020/Fev;2020/Mar;2020/Abr;2020/Mai;2020/Jun;2020/Jul;2020/Ago;2020/Set;2020/Out
130210 Japurá;20;20;20;20;20;20;20;20;20;20
130220 Juruá;20;20;20;20;20;20;20;20;20;20
130230 Jutaí;18;18;18;18;18;18;18;18;18;18
130240 Lábrea;56;56;56;56;56;56;56;56;56;56
130250 Manacapuru;72;72;72;72;72;72;72;72;72;72
130255 Manaquiri;20;20;20;20;20;20;20;20;20;20
130260 Manaus;3358;3372;3457;3645;3674;3528;3543;3548;3512;3548
130270 Manicoré;60;60;60;60;60;59;56;57;57;57
130280 Maraã;19;19;19;19;19;19;19;19;19;19
130290 Maués;90;90;90;90;90;90;90;90;90;90
130300 Nhamundá;19;19;19;19;19;26;26;26;26;26
130310 Nova Olinda do Norte;31;31;31;31;31;31;31;31;31;31
130320 Novo Airão;22;22;22;22;22;22;22;22;22;22
130330 Novo Aripuanã;31;31;31;31;31;31;31;31;31;31
130340 Parintins;135;135;135;135;135;158;158;158;158;158
130350 Pauini;26;26;26;26;26;26;26;26;26;26
130353 Presidente Figueiredo;29;29;29;29;29;29;29;29;29;29
130356 Rio Preto da Eva;29;29;29;29;29;29;29;29;29;29
130360 Santa Isabel do Rio Negro;20;20;20;20;20;20;20;20;20;20
130370 Santo Antônio do Içá;53;53;53;53;53;53;53;53;53;53
130380 São Gabriel da Cachoeira;89;89;89;89;89;89;89;89;89;89
130390 São Paulo de Olivença;22;22;22;22;22;22;22;22;22;22
130395 São Sebastião do Uatumã;20;20;20;20;20;20;20;20;20;20
130400 Silves;20;20;20;20;20;20;20;20;20;20
130406 Tabatinga;51;51;51;51;51;39;39;39;75;39
130410 Tapauá;35;35;35;35;35;35;35;35;35;35
130420 Tefé;90;92;92;92;148;148;117;86;86;86
130423 Tonantins;33;33;33;33;33;33;33;33;33;33
130426 Uarini;20;20;20;20;22;27;20;20;20;20
130430 Urucará;39;39;39;39;39;39;39;39;39;39
130440 Urucurituba;32;32;32;32;22;22;22;22;22;22
140005 Alto Alegre;26;26;26;26;26;26;26;26;26;26
140010 Boa Vista;935;935;1015;1141;1321;1331;1331;1301;1290;1290
140015 Bonfim;14;14;14;14;14;14;14;14;14;14
140020 Caracaraí;24;24;24;24;24;24;24;24;24;24
140023 Caroebe;16;16;16;16;16;16;16;16;16;16
140028 Iracema;1;1;1;1;1;1;1;1;1;1
