gid,UF,nome,PIB,PIB_percapita,classe
1237,SERGIPE,Tomar do Geru,62506.46094,4556.859863,1
3865,PARANÁ,Santa Lúcia,34974.37109,9343.94043,1
1764,RIO GRANDE DO NORTE,Rafael Godeiro,14798.2041,4551.890137,1
1859,CEARÁ,Novo Oriente,93621.44531,3261.72998,1
2464,PARAÍBA,Alcantil,22410.37305,4283.330078,1
5395,SANTA CATARINA,Meleiro,158156.3906,22392.24023,3
4023,MATO GROSSO,Sapezal,1418892.125,90174.27344,4
2803,MINAS GERAIS,Pouso Alto,80420.05469,12383.75,2
1090,PIAUÍ,Dom Inocêncio,25457.23047,2358.23999,1
1286,SERGIPE,Santana do São Francisco,30641.17383,4465.990234,1
3011,MINAS GERAIS,Campanha,145911.3281,9148.620117,1
2611,MINAS GERAIS,Orizânia,32101.34766,4535.370117,1
4932,SANTA CATARINA,São José do Cerrito,78940.25,7430.370117,1
5493,PIAUÍ,Prata do Piauí,10738.21387,3293.929932,1
2054,MARANHÃO,Amarante do Maranhão,131346.625,3513.070068,1
4511,BAHIA,Itaparica,102586.6484,4933,1
4202,SÃO PAULO,Araraquara,4193535.25,20898.08984,2
924,SERGIPE,Indiaroba,86033.25781,4746.399902,1
1825,RIO GRANDE DO NORTE,Taipu,68109.51563,5598.810059,1
80,BAHIA,Nova Redenção,28909.56836,3102.550049,1
2208,PARÁ,Aveiro,54393.73438,2683.98999,1
1051,PIAUÍ,Alegrete do Piauí,21006.0918,4571.509766,1
499,RIO GRANDE DO SUL,Monte Belo do Sul,58234.10547,20606.55078,2
4142,PARANÁ,Nova Aurora,189617.9063,16295.7998,2
3606,PERNAMBUCO,Santa Maria do Cambucá,48165.3125,3721.629883,1
5453,SANTA CATARINA,Peritiba,46664.69922,15675.08008,2
2991,MINAS GERAIS,Brasópolis,105255.1484,7133.040039,1
5030,PIAUÍ,Lagoa Alegre,24826.51953,3023.939941,1
5197,PIAUÍ,Curimatá,40100.83594,3725.110107,1
2245,PARAÍBA,Barra de Santana,34139.80469,3832.060059,1
3676,MINAS GERAIS,Leme do Prado,22865.88477,4444.290039,1
2563,PARAÍBA,Alagoa Nova,123786.2734,6252.149902,1
312,RIO GRANDE DO SUL,São Jerônimo,281260.2813,13211.53027,2
2839,MINAS GERAIS,Rio Vermelho,62241.30078,4056.659912,1
5051,SÃO PAULO,Itapevi,3638207.25,17671.41016,2
4468,BAHIA,Ibicuí,69475.15625,4219.819824,1
2883,PARANÁ,Rancho Alegre,33275.30469,8149.720215,1
624,RIO GRANDE DO SUL,Erval Grande,53334.69922,9937.530273,2
4082,MATO GROSSO,Planalto da Serra,33849.75781,12102.16992,2
274,BAHIA,Santa Rita de Cássia,91663,3329.810059,1
3526,MINAS GERAIS,Imbé de Minas,38283.34375,5764.700195,1
815,GOIÁS,Novo Gama,352584.9688,3968.98999,1
5566,PIAUÍ,Passagem Franca do Piauí,14411.97559,3394.25,1
155,RIO GRANDE DO SUL,Chuí,140923.6719,25641.13086,3
1431,CEARÁ,Ibaretama,42010.30078,3181.149902,1
4217,SÃO PAULO,Bastos,322317.3125,15075.65039,2
4344,SÃO PAULO,Três Fronteiras,49727.08984,9631.429688,1
921,GOIÁS,Britânia,48315.8125,9309.410156,1
3374,MINAS GERAIS,Douradoquara,23141.83594,12027.98047,2
3895,PARANÁ,Piraí do Sul,293748.5938,12051.71973,2
4187,SÃO PAULO,Américo Brasiliense,578886.875,17407.50977,2
69,BAHIA,Nordestina,35456.31641,2798.449951,1
2746,PARANÁ,São Manoel do Paraná,18855.14453,8689.009766,1
5521,SANTA CATARINA,Santa Cecília,201708.875,12663.79004,2
2477,PARAÍBA,Serra Grande,12504.24219,3973.379883,1
5564,PIAUÍ,Alagoinha do Piauí,27277.73047,3526.080078,1
4928,SANTA CATARINA,São João do Sul,84870.84375,11830.33984,2
1375,MATO GROSSO DO SUL,Anastácio,202939.3906,8805.459961,1
1671,RIO GRANDE DO NORTE,Pedra Preta,12639.96777,4650.470215,1
2038,MARANHÃO,Alto Alegre do Maranhão,70238.39063,3065.300049,1
1144,SERGIPE,Poço Redondo,138586.8281,4581.529785,1
8,SÃO PAULO,Sertãozinho,4155643.5,37438.57031,3
2462,PARAÍBA,Riacho de Santo Antônio,9611.009766,6052.27002,1
2381,PARAÍBA,São José da Lagoa Tapada,29955.48438,3713.340088,1
4395,BAHIA,Coronel João Sá,76828.92188,4173.669922,1
520,RIO GRANDE DO SUL,Sarandi,389289.5313,17834.41016,2
1627,MARANHÃO,Governador Luiz Rocha,23451.05078,3282.620117,1
2716,MINAS GERAIS,Piranguçu,34538.80859,6493.47998,1
108,BAHIA,Pedro Alexandre,58842.01172,3324.780029,1
1775,MARANHÃO,Morros,48157.77344,2687.97998,1
131,RIO GRANDE DO SUL,Casca,201810.2813,23319.88086,3
5116,PARANÁ,São Mateus do Sul,552378.875,13411.16016,2
1797,RIO DE JANEIRO,Varre-Sai,88212.83594,9965.299805,2
4795,SÃO PAULO,Sabino,71262.47656,13148.05957,2
4255,SÃO PAULO,Caraguatatuba,1147377.5,11936.30957,2
161,BAHIA,Prado,285453.9688,10972.25,2
5483,SANTA CATARINA,Rio das Antas,86345.39844,13844.05957,2
2447,PARAÍBA,Cruz do Espírito Santo,71412.44531,4504.379883,1
467,RIO GRANDE DO SUL,Protásio Alves,30150.00391,13779.70996,2
4464,BAHIA,Iaçu,109799.9453,3838.889893,1
4915,SERGIPE,Areia Branca,86116.28906,5146.490234,1
3919,RONDÔNIA,Itapuã do Oeste,84785.72656,10295.78027,2
3143,MINAS GERAIS,São João Evangelista,81616.99219,5021.350098,1
834,PIAUÍ,Cocal,79448.5,2918.75,1
2672,PARANÁ,São Tomé,89769.35938,16256.67969,2
3265,PERNAMBUCO,Lagoa do Ouro,48624.83594,3971.320068,1
677,RIO GRANDE DO SUL,Cacique Doble,52123.5,10408.0498,2
221,RIO GRANDE DO SUL,Porto Xavier,142891.2656,12837.24023,2
3424,MINAS GERAIS,Ewbank da Câmara,19510.05859,5307.419922,1
1526,RORAIMA,Pacaraima,93442.57031,10134.76953,2
3393,MINAS GERAIS,Viçosa,599764.125,8086.22998,1
1424,MATO GROSSO DO SUL,Sonora,258011.5625,19349.90039,2
449,RIO GRANDE DO SUL,Jari,88814.82813,23360.0293,3
3066,PERNAMBUCO,Joaquim Nabuco,96163.34375,5828.790039,1
3331,MINAS GERAIS,Ubaporanga,69659.01563,5545.660156,1
2760,PARANÁ,Tupãssi,137302.3125,17277.25,2
4837,SÃO PAULO,Santo Expedito,27413.52148,9273.860352,1
631,RIO GRANDE DO SUL,Caiçara,60827.06641,11608.21973,2
1586,MARANHÃO,Capinzal do Norte,44285.91797,4143.52002,1
1788,RIO GRANDE DO NORTE,Caiçara do Norte,31648.85742,4757.799805,1
4724,SÃO PAULO,Paulo de Faria,121381.2813,12826.92969,2
3874,PARANÁ,Ampére,193306.6094,10714.84961,2
856,PIAUÍ,Paes Landim,14581.94141,3196.389893,1
3016,MINAS GERAIS,Campo do Meio,83806.1875,7059.740234,1
3188,PARANÁ,Anahy,33611.80469,11487.29004,2
2024,ESPIRITO SANTO,Serra,11531826,28495.59961,3
4845,SÃO PAULO,São João do Pau d'Alho,36372.30469,16600.7793,2
4722,SÃO PAULO,Paulicéia,73761.8125,12737.32031,2
